V	1002	ATI Technologies Inc
X	21291462	AMD Radeon HD 7450
X	3000174B	AMD Radeon HD 7450
X	745017AF	AMD Radeon HD 7450
D	6780	AMD FirePro W9000 (FireGL V)
D	678A	AMD FirePro W8000
X	030C1002	AMD FirePro W8000 (FireGL V)
X	030C1002	AMD FirePro W8000
X	03101002	AMD FirePro S9000 (FireGL V)
X	03101002	AMD FirePro S9000
X	04201002	Radeon Sky 700
X	04221002	Radeon Sky 900
X	07101002	AMD FirePro S9050 (FireGL V)
X	07101002	AMD FirePro S9050
X	07101028	AMD FirePro S9050 (FireGL V)
X	0B0E1002	FirePro S10000 Passive
X	0B0F1002	FirePro S10000 Passive (FireGL V)
X	0B0F1002	FirePro S10000 Passive
X	0B2A1002	AMD FirePro S10000 (FireGL V)
X	0B2A1002	AMD FirePro S10000
X	1B0E1002	FirePro S10000 Passive (FireGL V)
X	1B0E1002	FirePro S10000 Passive
D	6798	AMD Radeon HD 7900 Series
X	226F1458	AMD Radeon R9 200 Series
X	22731458	AMD Radeon R9 200 Series
X	22771458	AMD Radeon R9 200 Series
X	22781458	AMD Radeon R9 200 Series
X	22791458	AMD Radeon R9 200 Series
X	227A1458	AMD Radeon R9 200 Series
X	27751462	AMD Radeon R9 200 Series
X	27761462	AMD Radeon R9 200 Series
X	27771462	AMD Radeon R9 200 Series
X	27781462	AMD Radeon R9 200 Series
X	27791462	AMD Radeon R9 200 Series
X	277A1462	AMD Radeon R9 200 Series
X	277B1462	AMD Radeon R9 200 Series
X	27841462	AMD Radeon R9 200 Series
X	27851462	AMD Radeon R9 200 Series
X	28011092	AMD Radeon R9 200 Series
X	30001002	AMD Radeon HD 7900 Series
X	30001787	AMD Radeon R9 200 Series
X	30011043	AMD Radeon R9 200 Series
X	30011458	AMD Radeon R9 200 Series
X	30011462	AMD Radeon R9 200 Series
X	3001148C	AMD Radeon R9 200 Series
X	30011682	AMD Radeon R9 200 Series
X	3001174B	AMD Radeon R9 200 Series
X	30011787	AMD Radeon R9 200 Series
X	300117AF	AMD Radeon R9 200 Series
X	30021043	AMD Radeon R9 200 Series
X	30031043	AMD Radeon R9 200 Series
X	30041043	AMD Radeon R9 200 Series
X	30051043	AMD Radeon R9 200 Series
X	30061043	AMD Radeon R9 200 Series
