V	1002	ATI Technologies Inc
X	20E41B0A	GeForce GT 645M
X	27071558	GeForce GT 645M
X	390417AA	GeForce GT 645M
X	500317AA	GeForce GT 645M
X	501417AA	GeForce GT 645M
D	0FDF	GeForce GT 740M
X	06861025	GeForce GT 740M
X	068B1025	GeForce GT 740M
X	100D1043	GeForce GT 740M
X	10CC1043	GeForce GT 740M
X	14771043	GeForce GT 740M
X	15871043	GeForce GT 740M
X	21391043	GeForce GT 740M
X	21CA1043	GeForce GT 740M
D	0FE0	GeForce GTX 660M
X	010B106B	GeForce GTX 660M
D	0FE1	GeForce GT 730M
X	05B21028	GeForce GT 730M
X	06461025	GeForce GT 730M
X	06481025	GeForce GT 730M
X	06791025	GeForce GT 730M
X	067D1025	GeForce GT 730M
X	06861025	GeForce GT 730M
X	068B1025	GeForce GT 730M
X	069E1025	GeForce GT 730M
X	07131025	GeForce GT 730M
X	07171025	GeForce GT 730M
X	071B1025	GeForce GT 730M
X	071D1025	GeForce GT 730M
X	1013152D	GeForce GT 730M
X	1056152D	GeForce GT 730M
X	10B81462	GeForce GT 730M
X	20DC1B0A	GeForce GT 730M
X	20E41B0A	GeForce GT 730M
X	24421458	GeForce GT 730M
X	85851043	GeForce GT 730M
X	85D31043	GeForce GT 730M
X	A4421458	GeForce GT 730M
D	0FE2	GeForce GT 745M
X	008114C0	GeForce GT 745M
X	1043152D	GeForce GT 745M
X	1076152D	GeForce GT 745M
X	1704172F	GeForce GT 745M
X	1705172F	GeForce GT 745M
X	40021071	GeForce GT 745M
X	40331071	GeForce GT 745M
X	40371071	GeForce GT 745M
X	40381071	GeForce GT 745M
X	40391071	GeForce GT 745M
X	84001558	GeForce GT 745M
D	0FE3	GeForce GT 745M
X	01931854	GeForce GT 745M
X	05D61028	GeForce GT 745M
X	1002152D	GeForce GT 745M
X	1009152D	GeForce GT 745M
X	10511854	GeForce GT 745M
X	11ED1043	GeForce GT 745M
X	11FD1043	GeForce GT 745M
X	12DD1043	GeForce GT 745M
X	20E41B0A	GeForce GT 745M
X	21061B0A	GeForce GT 745M
X	21091B0A	GeForce GT 745M
X	210E1B0A	GeForce GT 745M
X	21EA1043	GeForce GT 745M
X	22021B0A	GeForce GT 745M
X	221A1043	GeForce GT 745M
X	22221B0A	GeForce GT 745M
X	222A1043	GeForce GT 745M
X	24421458	GeForce GT 745M
X	2B16103C	GeForce GT 745A
X	367517AA	GeForce GT 745A
X	380517AA	GeForce GT 745M
X	380917AA	GeForce GT 745M
X	500317AA	GeForce GT 745M
X	501A17AA	GeForce GT 745M
X	55891991	GeForce GT 745M
X	999B1019	GeForce GT 745M
X	99A21019	GeForce GT 745M
X	FA111179	GeForce GT 745M
X	FA131179	GeForce GT 745M
X	FA181179	GeForce GT 745M
X	FA191179	GeForce GT 745M
X	FA321179	GeForce GT 745M
X	FA331179	GeForce GT 745M
X	FA361179	GeForce GT 745M
X	FA381179	GeForce GT 745M
X	FA421179	GeForce GT 745M
X	FA431179	GeForce GT 745M
X	FA451179	GeForce GT 745M
X	FA471179	GeForce GT 745M
X	FA491179	GeForce GT 745M
X	FA781179	GeForce GT 745M
X	FA791179	GeForce GT 745M
D	0FE4	GeForce GT 750M
X	05A91028	GeForce GT 750M
X	05AC1028	GeForce GT 750M
X	05B01028	GeForce GT 750M
X	05F61028	GeForce GT 750M
X	05FA1028	GeForce GT 750M
X	05FC1028	GeForce GT 750M
X	05FE1028	GeForce GT 750M
X	06501558	GeForce GT 750M
X	06811558	GeForce GT 750M
X	07201071	GeForce GT 750M
X	07811025	GeForce GT 750M
X	07981025	GeForce GT 750M
X	07991025	GeForce GT 750M
X	079B1025	GeForce GT 750M
X	079C1025	GeForce GT 750M
X	079D1025	GeForce GT750M
X	08141025	GeForce GT 750M
X	08161025	GeForce GT 750M
X	08301025	GeForce GT 750M
X	1003152D	GeForce GT 750M
X	1010152D	GeForce GT 750M
X	1029152D	GeForce GT 750M
X	10E31462	GeForce GT 750M
X	10E61462	GeForce GT 750M
X	10E71462	GeForce GT 750M
X	11CD1043	GeForce GT 750M
X	127D1043	GeForce GT 750M
X	129D1043	GeForce GT 750M
X	14771043	GeForce GT 750M
X	15521458	GeForce GT 750M
X	1703172F	GeForce GT 750M
X	1967103C	GeForce GT 750M
X	1968103C	GeForce GT 750M
X	219B103C	GeForce GT 750M
X	219D103C	GeForce GT 750M
X	24521458	GeForce GT 750M
X	35521458	GeForce GT 750M
X	368317AA	GeForce GT 750M
X	380017AA	GeForce GT 750M
X	380117AA	GeForce GT 750M
X	380217AA	GeForce GT 750M
X	51821558	GeForce GT 750M
X	C740144D	GeForce GT 750M
D	0FE9	GeForce GT 750M
X	011E106B	GeForce GT 750M
X	0130106B	GeForce GT 750M
D	0FEA	GeForce GT 755M
X	011F106B	GeForce GT 755M
D	0FEC	GeForce 710A
X	1802172F	GeForce 710A
D	0FED	GeForce 820M
X	55301B50	GeForce 820M
D	0FEE	GeForce 810M
X	10E01043	GeForce 810M
X	11BE1043	GeForce 810M
X	11DE1043	GeForce 810M
X	133E1043	GeForce 810M
X	137E1043	GeForce 810M
X	146E1043	GeForce 810M
D	0FF3	Quadro K420
D	0FF6	Quadro K1100M
X	05CC1028	Quadro K1100M
X	060D1028	Quadro K1100M
X	15CC1028	Quadro K1100M
X	17EE10CF	Quadro K1100M
X	1909103C	Quadro K1100M
X	190A103C	Quadro K1100M
X	197A103C	Quadro K1100M
X	197B103C	Quadro K1100M
X	221017AA	Quadro K1100M
X	221117AA	Quadro K1100M
X	221A17AA	Quadro K1100M
X	221E17AA	Quadro K1100M
X	2253103C	Quadro K1100M
X	2254103C	Quadro K1100M
X	2255103C	Quadro K1100M
X	2256103C	Quadro K1100M
X	22FA1043	Quadro K1100M
X	51061558	Quadro K1100M
X	52811558	Quadro K1100M
X	71041558	Quadro K1100M
X	74811558	Quadro K1100M
X	75001558	Quadro K1100M
X	77001558	Quadro K1100M
X	8104103C	Quadro K1100M
D	0FF8	Quadro K500M
X	176A10CF	Quadro K500M
D	0FF9	Quadro K2000D
D	0FFA	Quadro K600
D	0FFB	Quadro K2000M
X	053E1028	Quadro K2000M
X	10DB1462	Quadro K2000M
X	153E1028	Quadro K2000M
X	175E10CF	Quadro K2000M
X	175F10CF	Quadro K2000M
X	176B103C	Quadro K2000M
X	21F517AA	Quadro K2000M
X	21F617AA	Quadro K2000M
D	0FFC	Quadro K1000M
X	053E1028	Quadro K1000M
X	10DB1462	Quadro K1000M
X	153E1028	Quadro K1000M
X	175E10CF	Quadro K1000M
X	176B103C	Quadro K1000M
X	21F517AA	Quadro K1000M
X	21F617AA	Quadro K1000M
X	51061558	Quadro K1000M
X	71041558	Quadro K1000M
D	0FFD	NVS 510
X	0967103C	NVS 510
D	0FFE	Quadro K2000
D	0FFF	Quadro 410
X	094A10DE	Quadro 410
D	1001	GeForce GTX TITAN Z
X	100110DE	GeForce GTX TITAN Z
X	107810DE	GeForce GTX TITAN Z
D	1004	GeForce GTX 780
X	068B1028	GeForce GTX 780
X	07901028	GeForce GTX 780
X	079A1028	GeForce GTX 780
X	104B10DE	GeForce GTX 780
X	105A10DE	GeForce GTX 780
D	1005	GeForce GTX TITAN
X	068B1028	GeForce GTX TITAN
X	07901028	GeForce GTX TITAN
X	079A1028	GeForce GTX TITAN
D	1007	GeForce GTX 780
X	068B1028	GeForce GTX 780
X	07901028	GeForce GTX 780
X	079A1028	GeForce GTX 780
D	1008	GeForce GTX 780 Ti
X	068B1028	GeForce GTX 780 Ti
X	07901028	GeForce GTX 780 Ti
X	079A1028	GeForce GTX 780 Ti
D	100A	GeForce GTX 780 Ti
X	068B1028	GeForce GTX 780 Ti
X	07901028	GeForce GTX 780 Ti
X	079A1028	GeForce GTX 780 Ti
D	100C	GeForce GTX TITAN Black
X	068B1028	GeForce GTX TITAN Black
X	07901028	GeForce GTX TITAN Black
X	079A1028	GeForce GTX TITAN Black
D	1021	Tesla K20Xm
D	1022	Tesla K20c
D	1023	Tesla K40m
D	1024	Tesla K40c
D	1026	Tesla K20s
D	1027	Tesla K40st
D	1028	Tesla K20m
D	1029	Tesla K40s
D	102A	Tesla K40t
D	102D	Tesla K80
D	103A	Quadro K6000
D	103C	Quadro K5200
D	1040	GeForce GT 520
X	091510DE	GeForce GT 520
X	25921462	GeForce GT 520
X	25931462	GeForce GT 520
X	259A1462	GeForce GT 520
X	3214174B	GeForce GT 520
X	3A981642	GeForce GT 520
X	3B421642	GeForce GT 520
X	83A01043	GeForce GT 520
X	83BD1043	GeForce GT 520
X	83C11043	GeForce GT 520
X	90AA1B0A	GeForce GT 520
X	C0001458	GeForce GT 520
D	1042	GeForce 510
X	1214174B	GeForce 510
X	1222174B	GeForce 510
X	25941462	GeForce 510
X	25951462	GeForce 510
X	25961462	GeForce 510
X	3A981642	GeForce 510
X	3B421642	GeForce 510
D	1048	GeForce 605
X	0605174B	GeForce 605
X	10141019	GeForce 605
X	25971462	GeForce 605
X	25981462	GeForce 605
X	25991462	GeForce 605
X	3A981642	GeForce 605
X	3B421642	GeForce 605
X	3C261642	GeForce 605
X	A601174B	GeForce 605
D	1049	GeForce GT 620
X	0620174B	GeForce GT 620
X	097710DE	GeForce GT 620
X	10161019	GeForce GT 620
X	259D1462	GeForce GT 620
X	259E1462	GeForce GT 620
X	3A981642	GeForce GT 620
X	3B421642	GeForce GT 620
X	809C144D	GeForce GT 620
X	809D144D	GeForce GT 620
X	83E61043	GeForce GT 620
X	83E71043	GeForce GT 620
X	83EA1043	GeForce GT 620
X	83EB1043	GeForce GT 620
X	90B71B0A	GeForce GT 620
X	90BE1B0A	GeForce GT 620
X	A621174B	GeForce GT 620
X	A622174B	GeForce GT 620
X	B5911462	GeForce GT 620
D	104A	GeForce GT 610
D	104B	GeForce GT 625 (OEM)
X	0625174B	GeForce GT 625
X	07901028	GeForce GT 625 (OEM)
X	10211019	GeForce GT 625 (OEM)
X	102A10DE	GeForce GT 625 (OEM)
X	80A1144D	GeForce GT 625 (OEM)
X	80A3144D	GeForce GT 625 (OEM)
X	844C1043	GeForce GT 625
X	846B1043	GeForce GT 625
X	A625174B	GeForce GT 625
X	B5901462	GeForce GT 625
X	B5921462	GeForce GT 625 (OEM)
D	104C	GeForce GT 705
X	07901028	GeForce GT 705
X	10271019	GeForce GT 705
X	108610DE	GeForce GT 705
X	109B1028	GeForce GT 705
X	214A174B	GeForce GT 705
X	27001462	GeForce GT 705
X	27011462	GeForce GT 705
X	27021462	GeForce GT 705
X	3A981642	GeForce GT 705
X	3B421642	GeForce GT 705
X	80A5144D	GeForce GT 705
X	80A7144D	GeForce GT 705
X	A705174B	GeForce GT 705
X	B5931462	GeForce GT 705
X	B5941462	GeForce GT 705
X	B5951462	GeForce GT 705
X	B5961462	GeForce GT 705
X	B5971462	GeForce GT 705
X	B5981462	GeForce GT 705
X	B5991462	GeForce GT 705
D	1050	GeForce GT 520M
X	04871025	GeForce GT 520M
X	04881025	GeForce GT 520M
X	05011025	GeForce GT 520M
X	05031025	GeForce GT 520M
X	05051025	GeForce GT 520M
X	05071025	GeForce GT 520M
X	05091025	GeForce GT 520M
X	05121025	GeForce GT 520M
X	05221028	GeForce GT 520M
X	053A1025	GeForce GT 520M
X	054E1025	GeForce GT 520M
X	05501025	GeForce GT 520M
X	055A1025	GeForce GT 520M
X	055C1025	GeForce GT 520M
X	05681025	GeForce GT 520M
X	056A1025	GeForce GT 520M
X	056B1025	GeForce GT 520M
X	056C1025	GeForce GT 520M
X	05701025	GeForce GT 520M
X	05721025	GeForce GT 520M
X	05731025	GeForce GT 520M
X	05741025	GeForce GT 520M
X	05751025	GeForce GT 520M
X	05761025	GeForce GT 520M
X	05781025	GeForce GT 520M
X	05791025	GeForce GT 520M
X	05791028	GeForce GT 520M
X	057A1025	GeForce GT 520M
X	057B1025	GeForce GT 520M
X	05801025	GeForce GT 520M
X	05811025	GeForce GT 520M
X	058B1025	GeForce GT 520M
X	058C1025	GeForce GT 520M
X	05931025	GeForce GT 520M
X	060D1025	GeForce GT 520M
X	060F1025	GeForce GT 520M
X	06111025	GeForce GT 520M
X	08651854	GeForce GT 520M
X	08711854	GeForce GT 520M
X	0A9116F3	GeForce GT 520M
X	0C9F16F3	GeForce GT 520M
X	105016F3	GeForce GT 520M
X	108C1462	GeForce GT 520M
X	10941462	GeForce GT 520M
X	10E517C0	GeForce GT 520M
X	10EC17C0	GeForce GT 520M
X	10F317C0	GeForce GT 520M
X	11321458	GeForce GT 520M
X	16221043	GeForce GT 520M
X	163510CF	GeForce GT 520M
X	165510CF	GeForce GT 520M
X	16621043	GeForce GT 520M
X	16821043	GeForce GT 520M
X	16F21043	GeForce GT 520M
X	17221043	GeForce GT 520M
X	17421043	GeForce GT 520M
X	17911854	GeForce GT 520M
X	184D103C	GeForce GT 520M
X	1A864352	GeForce GT 520M
X	20021BAB	GeForce GT 520M
X	30011854	GeForce GT 520M
X	338A103C	GeForce GT 520M
X	338B103C	GeForce GT 520M
X	338C103C	GeForce GT 520M
X	365217AA	GeForce GT 520M
X	397D17AA	GeForce GT 520M
X	397F17AA	GeForce GT 520M
X	43528986	GeForce GT 520M
X	55841991	GeForce GT 520M
X	80051BFD	GeForce GT 520M
X	84CF1043	GeForce GT 520M
X	9089104D	GeForce GT 520M
X	908A104D	GeForce GT 520M
X	908B104D	GeForce GT 520M
X	C0A0144D	GeForce GT 520M
X	C0B2144D	GeForce GT 520M
X	C0B6144D	GeForce GT 520M
X	C597144D	GeForce GT 520M
X	FC011179	GeForce GT 520M
X	FC311179	GeForce GT 520M
X	FC501179	GeForce GT 520M
X	FC611179	GeForce GT 520M
X	FC711179	GeForce GT 520M
X	FC901179	GeForce GT 520M
X	FCC01179	GeForce GT 520M
X	FCD01179	GeForce GT 520M
X	FCE21179	GeForce GT 520M
X	FCF21179	GeForce GT 520M
X	FD161179	GeForce GT 520M
X	FD401179	GeForce GT 520M
X	FD501179	GeForce GT 520M
X	FD521179	GeForce GT 520M
X	FD611179	GeForce GT 520M
X	FD711179	GeForce GT 520M
X	FDD01179	GeForce GT 520M
X	FDD21179	GeForce GT 520M
D	1051	GeForce GT 520MX
X	08921854	GeForce GT 520MX
X	10941462	GeForce GT 520MX
X	17621043	GeForce GT 520MX
X	17971854	GeForce GT 520MX
X	30061854	GeForce GT 520MX
X	300C1854	GeForce GT 520MX
X	30111854	GeForce GT 520MX
X	C0B6144D	GeForce GT 520MX
X	C0B7144D	GeForce GT 520MX
X	C606144D	GeForce GT 520MX
D	1052	GeForce GT 520M
X	109C1462	GeForce GT 520M
X	10AA1462	GeForce GT 520M
D	1054	GeForce 410M
X	05111028	GeForce 410M
X	109C1462	GeForce 410M
X	10AA1462	GeForce 410M
X	11001458	GeForce 410M
X	11251458	GeForce 410M
X	165610CF	GeForce 410M
X	165710CF	GeForce 410M
X	20131854	GeForce 410M
X	397D17AA	GeForce 410M
X	397F17AA	GeForce 410M
X	FCC01179	GeForce 410M
D	1055	GeForce 410M
X	908A104D	GeForce 410M
X	908B104D	GeForce 410M
D	1056	NVS 4200M
X	04931028	NVS 4200M
X	04941028	NVS 4200M
X	04E41028	NVS 4200M
X	14931028	NVS 4200M
X	14941028	NVS 4200M
X	14E41028	NVS 4200M
X	163610CF	NVS 4200M
X	21D217AA	NVS 4200M
X	21D317AA	NVS 4200M
D	1057	NVS 4200M
X	21CE17AA	NVS 4200M
X	21CF17AA	NVS 4200M
X	21D017AA	NVS 4200M
X	21D117AA	NVS 4200M
X	C0A6144D	NVS 4200M
X	C0AF144D	NVS 4200M
X	C0B0144D	NVS 4200M
D	1058	GeForce 610M
X	0C9B16F3	GeForce 610M
X	0C9C16F3	GeForce 610M
X	10AC1043	GeForce 610M
X	10BC1043	GeForce 610M
X	112D1043	GeForce 610M
X	14571043	GeForce 610M
X	15371043	GeForce 610M
X	16521043	GeForce 610M
X	21301043	GeForce 610M
X	21331043	GeForce 610M
X	2AED103C	GeForce 610M
X	2AF1103C	GeForce 610
X	367A17AA	GeForce 610M
X	368217AA	GeForce 800A
X	368717AA	GeForce 800A
X	369217AA	GeForce  705A
X	369517AA	GeForce 800A
X	36A817AA	GeForce 800A
X	36AC17AA	GeForce 800A
X	36AD17AA	GeForce 800A
X	390117AA	GeForce 610M
X	390217AA	GeForce 610M
X	390317AA	GeForce 610M
X	397717AA	GeForce 610M
X	397D17AA	GeForce 610M
X	398317AA	GeForce 610M
X	500117AA	GeForce 610M
X	500317AA	GeForce 610M
X	500517AA	GeForce 610M
X	500717AA	GeForce 610M
X	500F17AA	GeForce 610M
X	501217AA	GeForce 610M
X	85361043	GeForce 610M
X	90C21B0A	GeForce 610M
X	90C71B0A	GeForce 610M
X	AA5C1462	GeForce 610M
X	AA631462	GeForce 610M
X	AA831462	GeForce 610M
X	AC711462	GeForce 610M
X	AC791462	GeForce 610M
X	AC7A1462	GeForce 610M
X	AC931462	GeForce 610M
X	C652144D	GeForce 610M
D	1059	GeForce 610M
X	300C1854	GeForce 610M
X	30111854	GeForce 610M
X	30171854	GeForce 610M
D	105A	GeForce 610M
X	04881025	GeForce 610M
X	05051025	GeForce 610M
X	05071025	GeForce 610M
X	05121025	GeForce 610M
X	055A1025	GeForce 610M
X	05791028	GeForce 610M
X	06111025	GeForce 610M
X	06641025	GeForce 610M
X	093010DE	GeForce 610M
X	1898103C	GeForce 610M
X	21111043	GeForce 610M
X	21121043	GeForce 610M
X	21291043	GeForce 610M
X	26611462	GeForce 610M
X	2AF1103C	GeForce 610M
X	851D1043	GeForce 610M
D	105B	GeForce 705A
X	2AFB103C	GeForce 705A
X	309D17AA	GeForce 705A
X	30B117AA	GeForce 800A
X	30F317AA	GeForce 705A
X	36A117AA	GeForce 800A
X	90C81B0A	GeForce 705M
X	90CD1B0A	GeForce 705M
X	90CE1B0A	GeForce 705M
X	90D01B0A	GeForce 705M
X	AA631462	GeForce 705M
X	AA831462	GeForce 705M
X	AA861462	GeForce 705M
X	AC131462	GeForce 705M
X	AC791462	GeForce 705M
X	AC7E1462	GeForce 705M
X	AC931462	GeForce 705M
X	AC961462	GeForce 705M
D	107C	NVS 315
X	102F103C	NVS 315
X	102F107C	NVS 315
X	102F10DE	NVS 315
D	107D	NVS 310
X	094E103C	NVS 310
X	1154103C	NVS 310
D	1080	GeForce GTX 580
X	086A10DE	GeForce GTX 580
X	094710DE	GeForce GTX 580
D	1081	GeForce GTX 570
X	087E10DE	GeForce GTX 570
D	1082	GeForce GTX 560 Ti
X	087310DE	GeForce GTX 560 Ti
X	5207174B	GeForce GTX 560 Ti
D	1084	GeForce GTX 560
X	25701462	GeForce GTX 560
X	25711462	GeForce GTX 560
X	25721462	GeForce GTX 560
X	3A961642	GeForce GTX 560
D	1086	GeForce GTX 570
X	1207174B	GeForce GTX 570
X	25731462	GeForce GTX 570
X	83871043	GeForce GTX 570
D	1087	GeForce GTX 560 Ti
D	1088	GeForce GTX 590
X	086810DE	GeForce GTX 590
D	1089	GeForce GTX 580
D	108B	GeForce GTX 580
D	1091	Tesla M2090
X	088710DE	Tesla M2090
X	088E10DE	Tesla X2090
X	089110DE	Tesla X2090
D	1094	Tesla M2075
X	088810DE	Tesla M2075
D	1096	Tesla C2075
X	091010DE	Tesla C2075
X	091110DE	Tesla C2050
D	1140	GeForce 820M
X	008314C0	GeForce 820M
X	01061BAB	GeForce 820M
X	01771854	GeForce 710M
X	01801854	GeForce 710M
X	01901854	GeForce GT 720M
X	01921854	GeForce GT 720M
X	01C01B0A	GeForce 820M
X	02241854	GeForce 820M
X	054D1028	GeForce GT 630M
X	054E1028	GeForce GT 630M
X	05541028	GeForce GT 620M
X	05571028	GeForce GT 620M
X	05651028	GeForce GT 630M
X	05681028	GeForce GT 630M
X	05901028	GeForce GT 630M
X	05921028	GeForce GT 625M
X	05941028	GeForce GT 625M
X	05951028	GeForce GT 625M
X	05A21028	GeForce GT 625M
X	05B11028	GeForce GT 625M
X	05B31028	GeForce GT 625M
X	05DA1028	GeForce GT 630M
X	05DE1028	GeForce GT 720M
X	05E01028	GeForce GT 720M
X	05E81028	GeForce GT 630M
X	05F41028	GeForce GT 720M
X	06001025	GeForce GT 620M
X	06061025	GeForce GT 620M
X	060F1028	GeForce GT 720M
X	062F1028	GeForce GT 720M
X	064A1025	GeForce GT 620M
X	064C1025	GeForce GT 620M
X	064E1028	GeForce 820M
X	06521028	GeForce 820M
X	06531028	GeForce 820M
X	06551028	GeForce 820M
X	065E1028	GeForce 820M
X	06621028	GeForce 820M
X	067A1025	GeForce GT 620M
X	06801025	GeForce GT 620M
X	06861025	GeForce 710M
X	06891025	GeForce 710M
X	068B1025	GeForce 710M
X	068D1025	GeForce 710M
X	068D1028	GeForce 820M
X	068E1025	GeForce 710M
X	06911025	GeForce 710M
X	06921025	GeForce GT 620M
X	06941025	GeForce GT 620M
X	06AD1028	GeForce 820M
X	06AE1028	GeForce 820M
X	06AF1028	GeForce 820M
X	06B01028	GeForce 820M
X	06C01028	GeForce 820M
X	06C11028	GeForce 820M
X	07021025	GeForce GT 620M
X	07191025	GeForce GT 620M
X	07251025	GeForce GT 620M
X	07281025	GeForce GT 620M
X	072B1025	GeForce GT 620M
X	072E1025	GeForce GT 620M
X	07321025	GeForce GT 620M
X	07631025	GeForce GT 720M
X	07731025	GeForce 710M
X	07741025	GeForce 710M
X	07761025	GeForce GT 720M
X	077A1025	GeForce 710M
X	077B1025	GeForce 710M
X	077C1025	GeForce 710M
X	077D1025	GeForce 710M
X	077E1025	GeForce 710M
X	077F1025	GeForce 710M
X	07811025	GeForce GT 720M
X	07981025	GeForce GT 720M
X	07991019	GeForce 820M
X	07991025	GeForce GT 720M
X	079B1025	GeForce GT 720M
X	079C1025	GeForce GT 720M
X	08071025	GeForce GT 720M
X	08211025	GeForce 820M
X	08231025	GeForce GT 720M
X	08301025	GeForce GT 720M
X	08331025	GeForce GT 720M
X	08371025	GeForce GT 720M
X	083E1025	GeForce 820M
X	08411025	GeForce 710M
X	08531025	GeForce 820M
X	08541025	GeForce 820M
X	08551025	GeForce 820M
X	08561025	GeForce 820M
X	08571025	GeForce 820M
X	08581025	GeForce 820M
X	08631025	GeForce 820M
X	08681025	GeForce 820M
X	08691025	GeForce 810M
X	08731025	GeForce 820M
X	08781025	GeForce 820M
X	087B1025	GeForce 820M
X	087F1025	GeForce 820M
X	08811025	GeForce 820M
X	08851025	GeForce 820M
X	088A1025	GeForce 820M
X	089B1025	GeForce 820M
X	09211025	GeForce 820M
X	0926152D	GeForce 620M
X	092E1025	GeForce 810M
X	092F1025	GeForce 820M
X	09321025	GeForce 820M
X	093A1025	GeForce 820M
X	093C1025	GeForce 820M
X	093F1025	GeForce 820M
X	09411025	GeForce 820M
X	09451025	GeForce 820M
X	09541025	GeForce 820M
X	09651025	GeForce 820M
X	0982152D	GeForce GT 630M
X	0983152D	GeForce GT 630M
X	0DAC105B	GeForce GT 720M
X	0DAD105B	GeForce GT 720M
X	0EF3105B	GeForce GT 720M
X	1005152D	GeForce GT 820M
X	1012152D	GeForce 710M
X	10131D05	GeForce 810M
X	1019152D	GeForce 820M
X	1030152D	GeForce GT 630M
X	1055152D	GeForce 710M
X	1067152D	GeForce GT 720M
X	1092152D	GeForce 820M
X	10B81462	GeForce GT 710M
X	10DD1043	NVS 5200M
X	10E91462	GeForce GT 720M
X	10ED1043	NVS 5200M
X	11161462	GeForce 820M
X	11FD1043	GeForce GT 720M
X	124D1043	GeForce GT 720M
X	126D1043	GeForce GT 720M
X	131D1043	GeForce GT 720M
X	13FD1043	GeForce GT 720M
X	14C71043	GeForce GT 720M
X	15071043	GeForce GT 620M
X	15AD1043	GeForce 820M
X	15ED1043	GeForce 820M
X	160D1043	GeForce 820M
X	163D1043	GeForce 820M
X	165D1043	GeForce 820M
X	166D1043	GeForce 820M
X	16CD1043	GeForce 820M
X	16DD1043	GeForce 820M
X	170D1043	GeForce 820M
X	176D1043	GeForce 820M
X	178D1043	GeForce 820M
X	179D1043	GeForce 820M
X	17F510CF	GeForce GT 720M
X	18EF103C	GeForce GT 630M
X	18F9103C	GeForce GT 630M
X	18FB103C	GeForce GT 630M
X	18FD103C	GeForce GT 630M
X	18FF103C	GeForce GT 630M
X	20DD1B0A	GeForce GT 620M
X	20DF1B0A	GeForce GT 620M
X	210E1B0A	GeForce 820M
X	21321043	GeForce GT 620M
X	21361043	NVS 5200M
X	218A103C	GeForce 820M
X	21BA1043	GeForce GT 720M
X	21BB103C	GeForce 820M
X	21BC103C	GeForce 820M
X	21FA1043	GeForce GT 720M
X	220017AA	NVS 5200M
X	22021B0A	GeForce GT 720M
X	220A1043	GeForce GT 720M
X	220E103C	GeForce 820M
X	2210103C	GeForce 820M
X	2212103C	GeForce 820M
X	221317AA	GeForce GT 720M
X	2214103C	GeForce 820M
X	2218103C	GeForce 820M
X	221A1043	GeForce GT 720M
X	222017AA	GeForce GT 720M
X	223A1043	GeForce GT 710M
X	224A1043	GeForce GT 710M
X	225B103C	GeForce 820M
X	225D103C	GeForce 820M
X	226D103C	GeForce 820M
X	226F103C	GeForce 820M
X	227A1043	GeForce 820M
X	228A1043	GeForce 820M
X	22D2103C	GeForce 820M
X	22D9103C	GeForce 820M
X	22FA1043	GeForce 820M
X	232A1043	GeForce 820M
X	2335103C	GeForce 820M
X	2337103C	GeForce 820M
X	233A1043	GeForce 820M
X	235A1043	GeForce 820M
X	236A1043	GeForce 820M
X	238A1043	GeForce 820M
X	2AEF103C	GeForce GT 720A
X	2AF9103C	GeForce 710A
X	309C17AA	GeForce GT 720A
X	30B417AA	GeForce 820A
X	30B717AA	GeForce 720A
X	30E417AA	GeForce 820A
X	361B17AA	GeForce 820A
X	361C17AA	GeForce 820A
X	361D17AA	GeForce 820A
X	365617AA	GeForce GT 620M
X	365A17AA	GeForce 705M
X	365E17AA	GeForce 800M
X	366117AA	GeForce 820A
X	366C17AA	GeForce 800M
X	368517AA	GeForce 800M
X	368617AA	GeForce 800M
X	368717AA	GeForce 705A
X	369617AA	GeForce 820A
X	369B17AA	GeForce 820A
X	369C17AA	GeForce 820A
X	369D17AA	GeForce 820A
X	369E17AA	GeForce 820A
X	36A617AA	GeForce 820A
X	36A717AA	GeForce 820A
X	36A917AA	GeForce 820A
X	36AF17AA	GeForce 820A
X	36B017AA	GeForce 820A
X	36B617AA	GeForce 820A
X	380017AA	GeForce GT 720M
X	380117AA	GeForce GT 720M
X	380217AA	GeForce GT 720M
X	380317AA	GeForce GT 720M
X	380417AA	GeForce GT 720M
X	380617AA	GeForce GT 720M
X	380817AA	GeForce GT 720M
X	380D17AA	GeForce GT 820M
X	380E17AA	GeForce GT 820M
X	380F17AA	GeForce GT 820M
X	381117AA	GeForce GT 820M
X	381217AA	GeForce 820M
X	381317AA	GeForce 820M
X	381617AA	GeForce 820M
X	381717AA	GeForce 820M
X	381817AA	GeForce 820M
X	381A17AA	GeForce 820M
X	381C17AA	GeForce 820M
X	381D17AA	GeForce 820M
X	390117AA	GeForce 610M
X	390217AA	GeForce 710M
X	390317AA	GeForce 710M
X	390417AA	GeForce GT 625M
X	390517AA	GeForce GT 720M
X	390717AA	GeForce 820M
X	391017AA	GeForce GT 720M
X	391217AA	GeForce GT 720M
X	391317AA	GeForce 820M
X	391517AA	GeForce 820M
X	398317AA	GeForce 610M
X	500317AA	GeForce GT 720M
X	500517AA	GeForce 705M
X	500D17AA	GeForce GT 620M
X	501417AA	GeForce 710M
X	501717AA	GeForce 710M
X	501917AA	GeForce 710M
X	501A17AA	GeForce 710M
X	501F17AA	GeForce GT 720M
X	502517AA	GeForce 710M
X	502717AA	GeForce 710M
X	502A17AA	GeForce 710M
X	502B17AA	GeForce GT 720M
X	502D17AA	GeForce 710M
X	502E17AA	GeForce GT 720M
